 97,CrCl3,A3B_hP24_153_3c_2b
 98,CrFe3 NiSn5,AB_hP6_183_c_ab
 99,Cs2 ZnFe[CN]6,A6B2CD6E_cP64_208_m_ad_b_m_c
100,Cs3 P7,A3B7_tP40_76_3a_7a
101,CsPr[MoO4]2,AB2C8D_oP24_49_g_q_2qr_e
102,Cu15 Si4,A15B4_cI76_220_ae_c
103,Cu2 Fe[CN]6,A12B2C_cF60_196_h_bc_a
104,Cu3 P,A3B_hP24_165_bdg_f
105,Cu3 Pk,A3B_hP24_185_ab2c_c
106,CuBi2 O4,A2BC4_tP28_130_f_c_g
107,CuBrSe3,ABC3_oP20_30_2a_c_3c
108,CuBrSe3,ABC3_oP20_53_e_g_hi
109,CuCrCl5 [NH3]6,A5BCD6_cF416_228_eg_c_b_h
110,CuI,AB_hP12_156_2ab3c_2ab3c
111,CuNiSb2,ABC2_hP4_164_a_b_d
112,Cubanite,AB2C3_oP24_62_c_d_cd
113,Downeyite,A2B_tP24_135_gh_h
114,Er3 Ru2,A3B2_hP10_176_h_bd
115,F6 KP,A24BC_cF104_209_j_a_b
116,FCC C60 Buckminsterfullerine,A_cF240_202_h2i
117,Fe12 Zr2 P7,A12B7C2_hP21_174_2j2k_ajk_cf
118,Fe3 Te3 Tl,A3B3C_hP14_176_h_h_d
119,Fe3 Th7,A3B7_hP20_186_c_b2c
120,FeCu2 Al7,A7B2C_tP40_128_egi_h_e
121,FeNi,AB_mP4_6_2b_2a
122,FeOCl,ABC_oP6_59_a_b_a
123,FePSe3,ABC3_hR10_146_2a_2a_2b
124,FeS,AB_oF8_22_a_c
125,FeSb2,AB2_oP6_34_a_c
126,Forsterite,A2B4C_oP28_62_ac_2cd_c
127,Fresnoite,A2B8C2D_tP26_100_c_abcd_c_a
128,GaCl2,A2B_oP24_52_2e_cd
129,GaSb,AB_tI4_119_c_a
130,Garnet,A2B3C12D3_cI160_230_a_c_h_d
131,Gd3 Al2,A2B3_tP20_102_2c_b2c
132,GdSI,ABC_hP12_174_cj_fk_aj
133,GeAs2,A2B_oP24_55_2g2h_gh
134,GeP,AB_tI4_107_a_a
135,GeSe2,AB2_tP12_81_adg_2h
136,H2 S,A2B_aP6_2_aei_i
137,H2 S,A2B_mP12_13_2g_ef
138,H2 S,A2B_oP12_26_abc_ab
139,H2 S,A2B_oC24_64_2f_f
140,H2 S III,A2B_tP48_77_8d_4d
141,H2 S IV,A2B_mP12_7_4a_2a
142,H3 Cl,AB3_mC16_9_a_3a
143,H3 Cl,AB3_mP16_10_mn_3m3n
144,H3 Cl,AB3_mC16_15_e_cf
145,H3 Cl,AB3_oP16_19_a_3a
146,H3 S,A3B_oI32_23_ij2k_k
147,H3 S,A3B_oC64_66_gi2lm_2l
148,H3 S,A3B_hR4_160_b_a
149,H-III,A_mC24_15_2e2f
150,HCl,AB_oC8_36_a_a
151,HgI2,AB2_tP12_115_j_egi
152,HgI2,AB2_tP6_137_a_d
153,HoCuP2 §,ABC2_oC16_67_b_g_ag
154,Ir3 Ga5,A5B3_tP32_118_g2i_aceh
155,Ir3 Ge7,A7B3_cI40_229_df_e
156,IrGe4,A4B_hP15_144_4a_a
157,K2 CdPb,AB2C_oC16_40_a_2b_b
158,K2 PtCl6,A6B2C_cF36_225_e_c_a
159,K2 SnCl6,A6B2C_tP18_128_eh_d_b
160,K2 Ta4 O9 F4,A2B13C4_hP57_168_d_c6d_2d
161,KAg[CO3],ABCD3_oI48_73_d_e_e_ef
162,KAu4 Sn2,A4BC2_tI28_120_i_d_e
163,KB6 H6,A6B6C_cF104_202_h_h_c
164,KBO2,ABC2_hR24_167_e_e_2e
165,KCeSe4,ABC4_tP12_125_a_b_m
166,KHg2,A2B_oI12_74_h_e
167,KNiCl3,A3BC_hP30_185_cd_c_ab
168,KSbO3,AB3C_cP60_201_ce_fh_g
169,La2 NiO4,A2BC4_oP28_50_ij_ac_ijm
170,La2 O3,A2B3_hP5_164_d_ad
171,La43 Ni17 Mg5,A43B5C17_oC260_63_c8fg6h_cfg_ce3f2h
172,LaPtSi,ABC_tI12_109_a_a_a
173,LaRhC2,A2BC_tP16_76_2a_a_a
174,Li2 MoF6,A6B2C_tP18_94_eg_c_a
175,Li2 Sb,A2B_hP18_190_gh_bf
176,Li2 Si2 O5,A2B5C2_oC36_37_d_c2d_d
177,LiScI3,A3BC_hP10_188_k_a_e
178,LiSn,AB_mP6_10_en_am
179,M-carbon,A_mC16_12_4i
180,Mavlyanovite,A5B3_hP16_193_dg_g
181,Mg2 Zn11,A2B11_cP39_200_f_aghij
182,MgB12 H12 [H2 O]12,A12B36CD12_cF488_196_2h_6h_ac_fgh
183,MgSO4,AB4C_oC24_63_a_fg_c
184,Mg[NH],ABC_hP36_175_jk_jk_jk
185,Mn2 B,AB2_oF48_70_f_fg
186,MnAl6,A6B_oC28_63_efg_c
187,MnF2,A2B_tP12_111_2n_adf
188,MnGa2 Sb2,A2BC2_oI20_45_c_b_c
189,Mo8 P5,A8B5_mP13_6_a7b_3a2b
190,MoS2,AB2_hP12_143_cd_ab2d
191,Moissanite-15R,AB_hR10_160_5a_5a
192,Molybdite,AB3_oP16_62_c_3c
193,Muthmannite,ABC2_mP8_10_ac_eh_mn
194,NV,AB_tP8_111_n_n
195,Na3 Ask,AB3_hP24_185_c_ab2c
196,Na4 Ti2 Si8 O22 [H2 O]4,A4B2C13D_tP40_90_g_d_cef2g_c
197,Na5 Fe3 F14,A14B3C5_tP44_94_c3g_ad_bg
198,NaFeS2,ABC2_oI16_23_ab_i_k
199,NaGdCu2 F8,A2B8CD_tI24_97_d_k_a_b
200,NaZn13,AB13_cF112_226_a_bi
201,NaZn[OH]3,A3BC3D_tP64_106_3c_c_3c_c
202,Nb4 CoSi,AB4C_tP12_124_a_m_c
203,Nb7 Ru6 B8,A8B7C6_hP21_175_ck_aj_k
204,NbAs,AB_tI8_109_a_a
205,NbPS,ABC_oI12_71_h_j_g
206,NbTe4,AB4_tP10_103_a_d
207,NbTe4,AB4_tP10_124_a_m
208,Ni3 P,A3B_tI32_82_3g_g
209,Ni3 Ti,A3B_hP16_194_gh_ac
210,Nierite,A4B3_hP28_159_ab2c_2c
211,PH3,A3B_cP16_208_j_b
212,PI3,A3B_hP8_173_c_b
213,Pd17 Se15,A17B15_cP64_207_acfk_eij
214,Pd4 Se,A4B_tP10_114_e_a
215,PdSn4,AB4_oC20_68_a_i
216,Petzite,A3BC2_cI48_214_f_a_e
217,Phenakite,A2B4C_hR42_148_2f_4f_f
218,Pinnoite,A2B6CD7_tP64_77_2d_6d_d_ab6d
219,Post-perovskite,AB3C_oC20_63_a_cf_c
220,PrNiO3,AB3C_hR10_167_b_e_a
221,PrRu4 P12,A12BC4_cP34_195_2j_ab_2e
222,PtPb4,A4B_tP10_125_m_a
223,Pyrite‡,AB2_oP12_29_a_2a
224,Pyrochlore,A2BCD3E6_cF208_203_e_c_d_f_g
225,Pyrochlore Iridate,A2B2C7_cF88_227_c_d_af
226,Quartenary Heusler,ABCD_cF16_216_c_d_b_a
227,R-carbon,A_oP16_55_2g2h
228,Rasvumite,A2BC3_oC24_63_e_c_cg
229,Rb2 TiCu2 S4,A2B2C4D_tP18_132_e_i_o_d
230,Rb3 AsSe16,AB3C16_cF160_203_b_ad_eg
231,RbGa3,A3B_tI24_119_b2i_af
232,Re2 O5 [SO4]2,A13B2C2_oP34_32_a6c_c_c
233,Re3 N,AB3_hP4_187_e_fh
234,Rh2 Ga9,A9B2_mP22_7_9a_2a
235,Rh2 S3,A2B3_oP20_60_d_cd
236,Rh3 P2,A2B3_tP5_115_g_ag
237,Rh5 Ge3,A3B5_oP16_55_ch_agh
238,Ru2 Sn3,A2B3_tP20_116_bci_fj
239,RuIn3,A3B_tP16_118_ei_f
240,S-II,A_hP9_154_bc
241,S-III,A_tI16_142_f
242,S-carbon,A_mP8_10_2m2n
243,Sc-V,A_hP6_178_a
244,ScRh6 P4,A4B6C_hP11_143_bd_2d_a
245,SeO3,A3B_tP32_114_3e_e
246,Sheldrickite,A2B3C3DE7_hP48_145_2a_3a_3a_a_7a
247,SiO2,A2B_hP36_177_j2lm_n
248,SiO2,A2B_cI72_211_hi_i
249,Simple Cubic C60 Buckminsterfullerine,A_cP240_205_10d
250,Simpsonite,A4B14C3_hP21_143_bd_ac4d_d
251,SmSI,ABC_hR6_166_c_c_c
252,Sodium Chlorate,ABC3_cP20_198_a_a_b
253,Spinel,A3B4_cF56_227_ad_e
254,Sr2 As2 O7,A2B7C2_tP88_78_4a_14a_4a
255,Sr2 Bi3,A3B2_oP20_52_de_cd
256,Sr5 Si3,A3B5_tI32_108_ac_a2c
257,SrAl2 Se4,A2B4C_oC28_66_l_kl_a
258,SrBr2,A2B_tP30_85_ab2g_cg
259,SrH2,A2B_oP12_62_2c_c
260,SrSi2,A2B_cP12_212_c_a
261,Sr[S2 O6][H2 O]4,A10B2C_hP39_171_5c_c_a
262,Sr[S2 O6][H2 O]4,A10B2C_hP39_172_5c_c_a
263,Stannoidite,A8B2C12D2E_oI50_23_bcfk_i_3k_j_a
264,Ta2 H,AB2_oC6_21_a_k
