121,Cr3 Si,A3B_cP8_223_c_a
122,CrB,AB_oC8_63_c_c
123,CrCl3,A3B_hP24_151_3c_2a
124,CrSi2,AB2_hP9_180_d_j
125,CsCl,AB_cP2_221_b_a
126,Cu2 Mg Cubic Laves,A2B_cF24_227_d_a
127,Cu2 Sb,A2B_tP6_129_ac_c
128,Cu2 Te,A2B_hP6_191_h_e
129,Cu3 Au,AB3_cP4_221_a_c
130,CuAu,AB_tP2_123_a_d
131,CuPt,AB_hR2_166_a_b
132,CuTi3,AB3_tP4_123_a_ce
133,Cubic Lazarevićite,AB3C4_cP8_215_a_c_e
134,Cubic Perovskite,AB3C_cP5_221_a_c_b
135,Cuprite,A2B_cP6_224_b_a
136,Diamond,A_cF8_227_a
137,Enargite,AB3C4_oP16_31_a_ab_2ab
138,Esseneite,ABC6D2_mC40_15_e_e_3f_f
139,Face-Centered Cubic,A_cF4_225_a
140,Fe3 W3 C,AB3C3_cF112_227_c_de_f
141,Fe4 C,AB4_cP5_215_a_e
142,Fe7 W6 µ-phase,A7B6_hR13_166_ah_3c
143,FeB,AB_oP8_62_c_c
144,FeS2,AB2_aP12_1_4a_8a
145,FeSi,AB_cP8_198_a_a
146,Ferroelectric LiNbO3,ABC3_hR10_161_a_a_b
147,Fluorite,AB2_cF12_225_a_c
148,Ga2 Hf,A2B_tI24_141_2e_e
149,Ga3 Pt5,A3B5_oC16_65_ah_bej
150,Ga4 Ni,A4B_cI40_197_cde_c
151,Ga4 Ni3,A4B3_cI112_230_af_g
152,GeS,AB_oP8_62_c_c
153,GeS2,AB2_oF72_43_ab_3b
154,H3 Ho,A3B_hP24_165_adg_f
155,Half-Heusler,ABC_cF12_216_b_c_a
156,Hausmannite,A3B4_tI28_141_ad_h
157,Hazelwoodite,A3B2_hR5_155_e_c
158,Heusler,AB2C_cF16_225_a_c_b
159,Hexagonal ω,AB2_hP3_191_a_d
160,Hexagonal Close Packed,A_hP2_194_c
161,Hexagonal Graphite,A_hP4_194_bc
162,HgBr2,A2B_oC12_36_2a_a
163,HgCl2,A2B_oP12_62_2c_c
164,High-Pressure cI16 Li,A_cI16_220_c
165,High-Pressure CdTe,AB_oP2_25_b_a
166,High-Pressure H3 S,A3B_cI8_229_b_a
167,High-Pressure Te,A_mP4_4_2a
168,High-pressure GaAs,AB_oI4_44_a_b
169,HoCoGa5,AB5C_tP7_123_b_ci_a
170,Hydrophilite,AB2_oP6_58_a_g
171,Hypothetical BCT5 Si,A_tI4_139_e
172,Hypothetical Tetrahedrally Bonded Carbon with 3-Member Rings,A_hP6_194_h
173,Hypothetical Tetrahedrally Bonded Carbon with 4-Member Rings,A_tI8_139_h
174,Ideal β-Cristobalite,A2B_cF24_227_c_a
175,Ilmenite,AB3C_hR10_148_c_f_c
176,In¶,A_tI2_139_a
177,KAg(CN)2,AB2CD2_hP36_163_h_i_bf_i
178,KCNS,ABCD_oP16_57_d_c_d_d
179,KClO3,ABC3_mP10_11_e_e_ef
180,Keatite,A2B_tP36_96_3b_ab
181,Khatyrkite,A2B_tI12_140_h_a
182,Krennerite,AB2_oP24_28_acd_2c3d
183,Li3 N,A3B_hP4_191_bc_a
184,LiBC,ABC_hP6_194_c_d_a
185,Lonsdaleite,A_hP4_194_f
186,Marcasite,AB2_oP6_58_a_g
187,Matlockite,ABC_tP6_129_c_a_c
188,Mg2 Ni,A2B_hP18_180_fi_bd
189,MgB2 C2,A2B2C_oC80_64_efg_efg_df
190,MgB4,A4B_oP20_62_2cd_c
191,MgNi2 Hexagonal Laves,AB2_hP24_194_ef_fgh
192,MgZn2 Hexagonal Laves,AB2_hP12_194_f_ah
193,Millerite,AB_hR6_160_b_b
194,Mn12 Th,A12B_tI26_139_fij_a
195,MnP,AB_oP8_62_c_c
196,Mo2 B5,A5B2_hR7_166_a2c_c
197,MoB,AB_tI16_141_e_e
198,Model of Austenite,AB12C3_cI32_229_a_h_b
199,Model of Austenite,AB18C8_cF108_225_a_eh_f
200,Model of Austenite,AB27CD3_cP32_221_a_dij_b_c
201,Model of Ferrite,A9B16C7_cF128_225_acd_2f_be
202,Model of Ferrite,AB4C3_cI16_229_a_c_b
203,Model of Ferrite,AB11CD3_cP16_221_a_dg_b_c
204,MoPt2,AB2_oI6_71_a_g
205,MoSi2,AB2_tI6_139_a_e
206,Modderite,AB_oP8_33_a_a
207,Moissanite 9R,AB_hR6_160_3a_3a
208,Moissanite-4H SiC,AB_hP8_186_ab_ab
209,Moissanite-6H SiC,AB_hP12_186_a2b_a2b
210,Molecular Iodine,A_oC8_64_f
211,Molybdenite,AB2_hP6_194_c_f
212,Monoclinic Low Tridymite,A2B_mC144_9_24a_12a
213,Monoclinic PZT [Pb(Zr x Ti1−x)O3],A3BC_tP5_99_bc_a_b
214,Monoclinic Phosphorus,A_mP84_13_21g
215,Na3 As,AB3_hP8_194_c_bf
216,NaTl,AB_cF16_227_a_b
217,Naumannite,A2B_oP12_19_2a_a
218,NbO,AB_cP6_221_c_d
219,NbP,AB_tI8_141_a_b
220,Ni2 In,AB2_hP6_194_c_ad
221,Ni3 Sn,A3B_hP8_194_h_c
222,Ni4 Mo,AB4_tI10_87_a_h
223,NiAs,AB_hP4_194_c_a
224,NiTi,AB_mP4_11_e_e
225,NiTi2,AB2_cF96_227_e_cf
226,Original BN,AB_hP4_186_b_a
227,Original Fe2 P,A2B_hP9_150_ef_bd
228,Orthorhombic Tridymite,A2B_oC24_20_abc_c
229,P2 I4,A2B_aP6_2_2i_i
230,PPrS4,ABC4_tI96_142_e_ab_2g
231,Paraelectric LiNbO3 ,ABC3_hR10_167_a_b_e
232,PbO,AB_tP4_129_a_c
233,PdAl,AB_hR26_148_b2f_a2f
234,PdS,AB_tP16_84_cej_k
235,PdSn2,AB2_oC24_41_2a_2b
236,Po,A_mC12_5_3c
237,Predicted CdPt3,AB3_oC8_65_a_bf
238,Pt3 O4,A4B3_cI14_229_c_b
239,Pt8 Ti,A8B_tI18_139_hi_a
240,PtS,AB_tP4_131_c_e
241,PtSn4,AB4_oC20_41_a_2b
242,Pu2 C3,A3B2_cI40_220_d_c
243,Pyrite,AB2_cP12_205_a_c
244,ReSi2,AB2_oI6_71_a_i
