time,on/off,note,velocity,channel,param
28.25,on,65,127,1,
28.25,on,47,127,3,
28.5,off,65,0,1,
28.5,off,47,0,3,
28.5,on,64,127,1,
28.5,on,52,127,3,
28.75,off,64,0,1,
28.75,on,62,127,1,
29.0,off,71,0,0,
29.0,off,56,0,2,
29.0,off,62,0,1,
29.0,on,72,127,0,
29.0,on,60,127,1,
29.0,on,57,127,2,
29.25,off,52,0,3,
29.25,on,53,127,3,
29.5,off,72,0,0,
29.5,off,60,0,1,
29.5,off,57,0,2,
29.5,off,53,0,3,
29.5,on,74,127,0,
29.5,on,59,127,2,
29.5,on,52,127,3,
29.75,off,52,0,3,
29.75,on,50,127,3,
30.0,off,74,0,0,
30.0,off,59,0,2,
30.0,off,50,0,3,
30.0,on,67,127,0,
30.0,on,60,127,2,
30.0,on,52,127,3,
30.25,off,67,0,0,
30.25,off,52,0,3,
30.25,on,70,127,0,
30.25,on,55,127,3,
30.5,off,70,0,0,
30.5,off,55,0,3,
30.5,on,69,127,0,
30.5,on,54,127,3,
30.75,off,54,0,3,
30.75,on,57,127,3,
31.0,off,57,0,3,
31.0,on,55,127,3,
31.25,off,60,0,2,
31.25,off,69,0,0,
31.25,on,70,127,0,
31.25,on,62,127,2,
31.5,off,70,0,0,
31.5,off,62,0,2,
31.5,on,69,127,0,
31.5,on,60,127,2,
31.75,off,69,0,0,
31.75,off,60,0,2,
31.75,on,67,127,0,
31.75,on,58,127,2,
32.0,off,55,0,3,
32.0,off,58,0,2,
32.0,on,57,127,2,
32.0,on,50,127,3,
32.25,off,67,0,0,
32.25,on,64,127,0,
32.5,off,64,0,0,
32.5,on,65,127,0,
32.75,off,65,0,0,
32.75,on,62,127,0,
33.0,off,62,0,0,
33.0,on,70,127,0,
33.25,off,57,0,2,
33.25,on,53,127,2,
33.5,off,50,0,3,
33.5,off,53,0,2,
33.5,on,55,127,2,
33.5,on,52,127,3,
33.75,off,52,0,3,
33.75,on,50,127,3,
34.0,off,55,0,2,
34.0,off,50,0,3,
34.0,on,60,127,2,
34.0,on,52,127,3,
34.25,off,70,0,0,
34.25,on,67,127,0,
34.5,off,52,0,3,
34.5,off,67,0,0,
34.5,on,69,127,0,
34.5,on,53,127,3,
34.75,off,53,0,3,
34.75,on,52,127,3,
35.0,off,69,0,0,
35.0,off,52,0,3,
35.0,on,74,127,0,
35.0,on,54,127,3,
35.25,off,60,0,2,
35.25,on,57,127,2,
35.5,off,54,0,3,
35.5,off,57,0,2,
35.5,on,59,127,2,
35.5,on,55,127,3,
35.75,off,55,0,3,
35.75,on,54,127,3,
36.0,off,59,0,2,
36.0,off,54,0,3,
36.0,on,64,127,2,
36.0,on,56,127,3,
36.25,off,74,0,0,
36.25,on,71,127,0,
36.5,off,56,0,3,
36.5,off,71,0,0,
36.5,on,72,127,0,
36.5,on,57,127,3,
36.75,off,57,0,3,
36.75,on,56,127,3,
37.0,off,72,0,0,
37.0,off,56,0,3,
37.0,on,77,127,0,
37.0,on,57,127,3,
37.25,off,64,0,2,
37.25,on,61,127,2,
37.5,off,57,0,3,
37.5,off,61,0,2,
37.5,on,62,127,2,
37.5,on,58,127,3,
37.75,off,58,0,3,
37.75,on,57,127,3,
38.0,off,62,0,2,
38.0,off,57,0,3,
38.0,on,67,127,2,
38.0,on,59,127,3,
38.25,off,77,0,0,
38.25,on,74,127,0,
38.5,off,59,0,3,
38.5,off,74,0,0,
38.5,on,76,127,0,
38.5,on,60,127,3,
38.75,off,60,0,3,
38.75,on,59,127,3,
39.0,off,76,0,0,
